iter	Accuracy	MultiClass
0	0.6612702366	1.046813871
1	0.6587795766	1.004089255
2	0.6612702366	0.9727289481
3	0.6600249066	0.9473680619
4	0.6600249066	0.926308014
5	0.6600249066	0.9047258527
6	0.6600249066	0.8856762762
7	0.6600249066	0.8710457803
8	0.6600249066	0.853009485
9	0.6600249066	0.8356953207
10	0.6600249066	0.8240884242
11	0.6600249066	0.8114680402
12	0.6650062267	0.8010764644
13	0.6687422167	0.7914674079
14	0.6774595268	0.7820852867
15	0.6849315068	0.77507975
16	0.6874221669	0.7682114955
17	0.6911581569	0.7592929016
18	0.6899128269	0.753441864
19	0.6886674969	0.7479391751
20	0.6836861768	0.7420888923
21	0.6886674969	0.7346610734
22	0.6948941469	0.7275567696
23	0.698630137	0.7234802209
24	0.697384807	0.7190993663
25	0.696139477	0.7148359279
26	0.702366127	0.7105135299
27	0.701120797	0.7075888638
28	0.701120797	0.7047896142
29	0.698630137	0.6999448771
30	0.703611457	0.6958178211
31	0.699875467	0.6932178515
32	0.703611457	0.6888191424
33	0.7061021171	0.6860502064
34	0.7073474471	0.6827352785
35	0.7085927771	0.678538042
36	0.7073474471	0.6776443843
37	0.7123287671	0.6740915776
38	0.7148194271	0.672651014
39	0.7160647572	0.6724593032
40	0.7148194271	0.6698853633
41	0.7160647572	0.6661491971
42	0.7198007472	0.6621076449
43	0.7185554172	0.6587210522
44	0.7210460772	0.6566524837
45	0.7185554172	0.6539482092
46	0.7210460772	0.6515782816
47	0.7260273973	0.6469744843
48	0.7310087173	0.641733883
49	0.7322540473	0.6372070088
50	0.7322540473	0.6353126447
51	0.7384806974	0.6320555167
52	0.7434620174	0.6289186721
53	0.7496886675	0.6250834188
54	0.7496886675	0.6234538671
55	0.7509339975	0.6202734052
56	0.7559153176	0.6170365153
57	0.7571606476	0.6146063988
58	0.7571606476	0.6125633226
59	0.7571606476	0.6097443397
60	0.7596513076	0.6086449434
61	0.7621419676	0.6057285974
62	0.7608966376	0.6031091188
63	0.7584059776	0.6002954155
64	0.7584059776	0.5983111013
65	0.7608966376	0.5958131402
66	0.7633872976	0.5930650242
67	0.7646326276	0.5905699295
68	0.7646326276	0.5884332313
69	0.7658779577	0.5853460038
70	0.7683686177	0.5823014306
71	0.7721046077	0.5797526856
72	0.7733499377	0.5780061589
73	0.7721046077	0.5754259013
74	0.7708592777	0.573464512
75	0.7733499377	0.5716171708
76	0.7733499377	0.5696770163
77	0.7721046077	0.5680092221
78	0.7745952677	0.5658674299
79	0.7745952677	0.5655230539
80	0.7745952677	0.563885139
81	0.7733499377	0.5618922291
82	0.7770859278	0.5587497953
83	0.7795765878	0.5570235488
84	0.7808219178	0.555421511
85	0.7833125778	0.5532088935
86	0.7833125778	0.5507947448
87	0.7845579078	0.549171392
88	0.7882938979	0.5472497614
89	0.7932752179	0.5452191305
90	0.7932752179	0.5436566902
91	0.7920298879	0.5413098393
92	0.7920298879	0.5388547397
93	0.7920298879	0.53714435
94	0.7920298879	0.5350307243
95	0.7945205479	0.5334277682
96	0.7945205479	0.5314361547
97	0.7945205479	0.5288765497
98	0.798256538	0.5270055624
99	0.800747198	0.5242875146
100	0.800747198	0.5236157438
101	0.799501868	0.5229314498
102	0.799501868	0.5224386197
103	0.797011208	0.52130477
104	0.799501868	0.5194252915
105	0.799501868	0.5174319916
106	0.798256538	0.5165118215
107	0.798256538	0.5158261411
108	0.798256538	0.5148330203
