iter	Passed	Remaining
0	170	85233
1	188	46890
2	195	32316
3	229	28468
4	244	24254
5	254	20956
6	269	18996
7	283	17435
8	299	16312
9	314	15394
10	329	14630
11	344	13994
12	358	13448
13	373	12969
14	389	12590
15	404	12237
16	419	11914
17	433	11611
18	448	11345
19	462	11108
20	477	10881
21	491	10669
22	506	10507
23	520	10321
24	535	10178
25	549	10019
26	563	9867
27	577	9728
28	591	9603
29	605	9478
30	619	9375
31	634	9275
32	648	9172
33	664	9112
34	678	9018
35	692	8926
36	706	8842
37	720	8761
38	734	8676
39	738	8496
40	753	8436
41	767	8366
42	780	8300
43	795	8246
44	809	8189
45	824	8137
46	838	8082
47	853	8037
48	867	7987
49	882	7938
50	895	7887
51	910	7840
52	923	7791
53	937	7741
54	950	7693
55	964	7646
56	977	7599
57	991	7556
58	1005	7513
59	1019	7473
60	1032	7431
61	1046	7391
62	1060	7355
63	1074	7319
64	1089	7289
65	1103	7255
66	1117	7220
67	1131	7185
68	1145	7153
69	1160	7131
70	1175	7101
71	1189	7070
72	1203	7041
73	1217	7011
74	1231	6980
75	1245	6949
76	1259	6921
77	1275	6901
78	1290	6876
79	1304	6850
80	1319	6823
81	1332	6794
82	1346	6764
83	1359	6732
84	1372	6702
85	1387	6681
86	1401	6654
87	1416	6629
88	1430	6607
89	1444	6580
90	1458	6556
91	1472	6529
92	1486	6504
93	1499	6477
94	1513	6451
95	1526	6425
96	1540	6400
97	1553	6374
98	1567	6349
99	1581	6324
100	1594	6299
101	1607	6273
102	1621	6248
103	1635	6227
104	1649	6203
105	1663	6181
106	1678	6166
107	1693	6147
108	1707	6125
